window,count,probability
"(datetime.time(16, 0), datetime.time(17, 30))",74,0.2824427480916031
"(datetime.time(16, 5), datetime.time(17, 35))",73,0.2786259541984733
"(datetime.time(16, 10), datetime.time(17, 40))",75,0.2862595419847328
"(datetime.time(16, 15), datetime.time(17, 45))",73,0.2786259541984733
"(datetime.time(16, 20), datetime.time(17, 50))",74,0.2824427480916031
"(datetime.time(16, 25), datetime.time(17, 55))",70,0.26717557251908397
"(datetime.time(16, 30), datetime.time(18, 0))",71,0.27099236641221375
"(datetime.time(16, 35), datetime.time(18, 5))",67,0.25572519083969464
"(datetime.time(16, 40), datetime.time(18, 10))",65,0.2480916030534351
"(datetime.time(16, 45), datetime.time(18, 15))",69,0.2633587786259542
"(datetime.time(16, 50), datetime.time(18, 20))",70,0.26717557251908397
"(datetime.time(16, 55), datetime.time(18, 25))",70,0.26717557251908397
"(datetime.time(17, 0), datetime.time(18, 30))",70,0.26717557251908397
"(datetime.time(17, 5), datetime.time(18, 35))",65,0.2480916030534351
"(datetime.time(17, 10), datetime.time(18, 40))",65,0.2480916030534351
"(datetime.time(17, 15), datetime.time(18, 45))",63,0.24045801526717558
"(datetime.time(17, 20), datetime.time(18, 50))",61,0.23282442748091603
"(datetime.time(17, 25), datetime.time(18, 55))",65,0.2480916030534351
"(datetime.time(17, 30), datetime.time(19, 0))",65,0.2480916030534351
"(datetime.time(17, 35), datetime.time(19, 5))",63,0.24045801526717558
"(datetime.time(17, 40), datetime.time(19, 10))",63,0.24045801526717558
"(datetime.time(17, 45), datetime.time(19, 15))",61,0.23282442748091603
"(datetime.time(17, 50), datetime.time(19, 20))",58,0.22137404580152673
"(datetime.time(17, 55), datetime.time(19, 25))",58,0.22137404580152673
"(datetime.time(18, 0), datetime.time(19, 30))",56,0.21374045801526717
"(datetime.time(18, 5), datetime.time(19, 35))",57,0.21755725190839695
"(datetime.time(18, 10), datetime.time(19, 40))",56,0.21374045801526717
"(datetime.time(18, 15), datetime.time(19, 45))",56,0.21374045801526717
"(datetime.time(18, 20), datetime.time(19, 50))",57,0.21755725190839695
"(datetime.time(18, 25), datetime.time(19, 55))",55,0.2099236641221374
"(datetime.time(18, 30), datetime.time(20, 0))",53,0.20229007633587787
"(datetime.time(18, 35), datetime.time(20, 5))",52,0.1984732824427481
"(datetime.time(18, 40), datetime.time(20, 10))",52,0.1984732824427481
"(datetime.time(18, 45), datetime.time(20, 15))",49,0.18702290076335878
"(datetime.time(18, 50), datetime.time(20, 20))",45,0.1717557251908397
"(datetime.time(18, 55), datetime.time(20, 25))",44,0.16793893129770993
"(datetime.time(19, 0), datetime.time(20, 30))",43,0.16412213740458015
"(datetime.time(19, 5), datetime.time(20, 35))",44,0.16793893129770993
"(datetime.time(19, 10), datetime.time(20, 40))",43,0.16412213740458015
"(datetime.time(19, 15), datetime.time(20, 45))",43,0.16412213740458015
"(datetime.time(19, 20), datetime.time(20, 50))",44,0.16793893129770993
"(datetime.time(19, 25), datetime.time(20, 55))",44,0.16793893129770993
"(datetime.time(19, 30), datetime.time(21, 0))",45,0.1717557251908397
"(datetime.time(19, 35), datetime.time(21, 5))",48,0.183206106870229
"(datetime.time(19, 40), datetime.time(21, 10))",47,0.17938931297709923
"(datetime.time(19, 45), datetime.time(21, 15))",47,0.17938931297709923
"(datetime.time(19, 50), datetime.time(21, 20))",46,0.17557251908396945
"(datetime.time(19, 55), datetime.time(21, 25))",45,0.1717557251908397
"(datetime.time(20, 0), datetime.time(21, 30))",45,0.1717557251908397
"(datetime.time(20, 5), datetime.time(21, 35))",46,0.17557251908396945
"(datetime.time(20, 10), datetime.time(21, 40))",49,0.18702290076335878
"(datetime.time(20, 15), datetime.time(21, 45))",51,0.1946564885496183
"(datetime.time(20, 20), datetime.time(21, 50))",51,0.1946564885496183
"(datetime.time(20, 25), datetime.time(21, 55))",50,0.19083969465648856
"(datetime.time(20, 30), datetime.time(22, 0))",52,0.1984732824427481
"(datetime.time(20, 35), datetime.time(22, 5))",51,0.1946564885496183
"(datetime.time(20, 40), datetime.time(22, 10))",50,0.19083969465648856
"(datetime.time(20, 45), datetime.time(22, 15))",49,0.18702290076335878
"(datetime.time(20, 50), datetime.time(22, 20))",49,0.18702290076335878
"(datetime.time(20, 55), datetime.time(22, 25))",51,0.1946564885496183
"(datetime.time(21, 0), datetime.time(22, 30))",69,0.2633587786259542
"(datetime.time(21, 5), datetime.time(22, 35))",72,0.2748091603053435
"(datetime.time(21, 10), datetime.time(22, 40))",73,0.2786259541984733
"(datetime.time(21, 15), datetime.time(22, 45))",76,0.2900763358778626
"(datetime.time(21, 20), datetime.time(22, 50))",75,0.2862595419847328
"(datetime.time(21, 25), datetime.time(22, 55))",76,0.2900763358778626
"(datetime.time(21, 30), datetime.time(23, 0))",77,0.29389312977099236
"(datetime.time(21, 35), datetime.time(23, 5))",77,0.29389312977099236
"(datetime.time(21, 40), datetime.time(23, 10))",76,0.2900763358778626
"(datetime.time(21, 45), datetime.time(23, 15))",78,0.29770992366412213
"(datetime.time(21, 50), datetime.time(23, 20))",76,0.2900763358778626
"(datetime.time(21, 55), datetime.time(23, 25))",77,0.29389312977099236
"(datetime.time(22, 0), datetime.time(23, 30))",79,0.3015267175572519
"(datetime.time(22, 5), datetime.time(23, 35))",80,0.3053435114503817
"(datetime.time(22, 10), datetime.time(23, 40))",83,0.31679389312977096
"(datetime.time(22, 15), datetime.time(23, 45))",86,0.3282442748091603
"(datetime.time(22, 20), datetime.time(23, 50))",86,0.3282442748091603
"(datetime.time(22, 25), datetime.time(23, 55))",86,0.3282442748091603
"(datetime.time(22, 30), datetime.time(0, 0))",82,0.31297709923664124
"(datetime.time(22, 35), datetime.time(0, 5))",72,0.2748091603053435
"(datetime.time(22, 40), datetime.time(0, 10))",71,0.27099236641221375
"(datetime.time(22, 45), datetime.time(0, 15))",70,0.26717557251908397
"(datetime.time(22, 50), datetime.time(0, 20))",67,0.25572519083969464
"(datetime.time(22, 55), datetime.time(0, 25))",69,0.2633587786259542
"(datetime.time(23, 0), datetime.time(0, 30))",69,0.2633587786259542
"(datetime.time(23, 5), datetime.time(0, 35))",67,0.25572519083969464
"(datetime.time(23, 10), datetime.time(0, 40))",67,0.25572519083969464
"(datetime.time(23, 15), datetime.time(0, 45))",69,0.2633587786259542
"(datetime.time(23, 20), datetime.time(0, 50))",71,0.27099236641221375
"(datetime.time(23, 25), datetime.time(0, 55))",72,0.2748091603053435
"(datetime.time(23, 30), datetime.time(1, 0))",70,0.26717557251908397
"(datetime.time(23, 35), datetime.time(1, 5))",68,0.2595419847328244
"(datetime.time(23, 40), datetime.time(1, 10))",71,0.27099236641221375
"(datetime.time(23, 45), datetime.time(1, 15))",69,0.2633587786259542
"(datetime.time(23, 50), datetime.time(1, 20))",66,0.25190839694656486
"(datetime.time(23, 55), datetime.time(1, 25))",66,0.25190839694656486
"(datetime.time(0, 0), datetime.time(1, 30))",66,0.25190839694656486
"(datetime.time(0, 5), datetime.time(1, 35))",62,0.2366412213740458
"(datetime.time(0, 10), datetime.time(1, 40))",58,0.22137404580152673
"(datetime.time(0, 15), datetime.time(1, 45))",55,0.2099236641221374
"(datetime.time(0, 20), datetime.time(1, 50))",52,0.1984732824427481
"(datetime.time(0, 25), datetime.time(1, 55))",50,0.19083969465648856
"(datetime.time(0, 30), datetime.time(2, 0))",50,0.19083969465648856
"(datetime.time(0, 35), datetime.time(2, 5))",47,0.17938931297709923
"(datetime.time(0, 40), datetime.time(2, 10))",46,0.17557251908396945
"(datetime.time(0, 45), datetime.time(2, 15))",46,0.17557251908396945
"(datetime.time(0, 50), datetime.time(2, 20))",46,0.17557251908396945
"(datetime.time(0, 55), datetime.time(2, 25))",44,0.16793893129770993
"(datetime.time(1, 0), datetime.time(2, 30))",45,0.1717557251908397
"(datetime.time(1, 5), datetime.time(2, 35))",44,0.16793893129770993
"(datetime.time(1, 10), datetime.time(2, 40))",44,0.16793893129770993
