window,count,probability
"(datetime.time(16, 0), datetime.time(17, 30))",85,0.3244274809160305
"(datetime.time(16, 5), datetime.time(17, 35))",84,0.32061068702290074
"(datetime.time(16, 10), datetime.time(17, 40))",82,0.31297709923664124
"(datetime.time(16, 15), datetime.time(17, 45))",79,0.3015267175572519
"(datetime.time(16, 20), datetime.time(17, 50))",78,0.29770992366412213
"(datetime.time(16, 25), datetime.time(17, 55))",76,0.2900763358778626
"(datetime.time(16, 30), datetime.time(18, 0))",77,0.29389312977099236
"(datetime.time(16, 35), datetime.time(18, 5))",76,0.2900763358778626
"(datetime.time(16, 40), datetime.time(18, 10))",75,0.2862595419847328
"(datetime.time(16, 45), datetime.time(18, 15))",76,0.2900763358778626
"(datetime.time(16, 50), datetime.time(18, 20))",74,0.2824427480916031
"(datetime.time(16, 55), datetime.time(18, 25))",74,0.2824427480916031
"(datetime.time(17, 0), datetime.time(18, 30))",75,0.2862595419847328
"(datetime.time(17, 5), datetime.time(18, 35))",73,0.2786259541984733
"(datetime.time(17, 10), datetime.time(18, 40))",71,0.27099236641221375
"(datetime.time(17, 15), datetime.time(18, 45))",73,0.2786259541984733
"(datetime.time(17, 20), datetime.time(18, 50))",74,0.2824427480916031
"(datetime.time(17, 25), datetime.time(18, 55))",69,0.2633587786259542
"(datetime.time(17, 30), datetime.time(19, 0))",66,0.25190839694656486
"(datetime.time(17, 35), datetime.time(19, 5))",64,0.24427480916030533
"(datetime.time(17, 40), datetime.time(19, 10))",60,0.22900763358778625
"(datetime.time(17, 45), datetime.time(19, 15))",57,0.21755725190839695
"(datetime.time(17, 50), datetime.time(19, 20))",55,0.2099236641221374
"(datetime.time(17, 55), datetime.time(19, 25))",55,0.2099236641221374
"(datetime.time(18, 0), datetime.time(19, 30))",55,0.2099236641221374
"(datetime.time(18, 5), datetime.time(19, 35))",53,0.20229007633587787
"(datetime.time(18, 10), datetime.time(19, 40))",50,0.19083969465648856
"(datetime.time(18, 15), datetime.time(19, 45))",48,0.183206106870229
"(datetime.time(18, 20), datetime.time(19, 50))",47,0.17938931297709923
"(datetime.time(18, 25), datetime.time(19, 55))",43,0.16412213740458015
"(datetime.time(18, 30), datetime.time(20, 0))",42,0.16030534351145037
"(datetime.time(18, 35), datetime.time(20, 5))",40,0.15267175572519084
"(datetime.time(18, 40), datetime.time(20, 10))",41,0.15648854961832062
"(datetime.time(18, 45), datetime.time(20, 15))",40,0.15267175572519084
"(datetime.time(18, 50), datetime.time(20, 20))",38,0.1450381679389313
"(datetime.time(18, 55), datetime.time(20, 25))",37,0.14122137404580154
"(datetime.time(19, 0), datetime.time(20, 30))",35,0.13358778625954199
"(datetime.time(19, 5), datetime.time(20, 35))",34,0.1297709923664122
"(datetime.time(19, 10), datetime.time(20, 40))",31,0.1183206106870229
"(datetime.time(19, 15), datetime.time(20, 45))",31,0.1183206106870229
"(datetime.time(19, 20), datetime.time(20, 50))",31,0.1183206106870229
"(datetime.time(19, 25), datetime.time(20, 55))",30,0.11450381679389313
"(datetime.time(19, 30), datetime.time(21, 0))",31,0.1183206106870229
"(datetime.time(19, 35), datetime.time(21, 5))",32,0.12213740458015267
"(datetime.time(19, 40), datetime.time(21, 10))",34,0.1297709923664122
"(datetime.time(19, 45), datetime.time(21, 15))",34,0.1297709923664122
"(datetime.time(19, 50), datetime.time(21, 20))",34,0.1297709923664122
"(datetime.time(19, 55), datetime.time(21, 25))",34,0.1297709923664122
"(datetime.time(20, 0), datetime.time(21, 30))",38,0.1450381679389313
"(datetime.time(20, 5), datetime.time(21, 35))",37,0.14122137404580154
"(datetime.time(20, 10), datetime.time(21, 40))",38,0.1450381679389313
"(datetime.time(20, 15), datetime.time(21, 45))",36,0.13740458015267176
"(datetime.time(20, 20), datetime.time(21, 50))",36,0.13740458015267176
"(datetime.time(20, 25), datetime.time(21, 55))",37,0.14122137404580154
"(datetime.time(20, 30), datetime.time(22, 0))",38,0.1450381679389313
"(datetime.time(20, 35), datetime.time(22, 5))",38,0.1450381679389313
"(datetime.time(20, 40), datetime.time(22, 10))",40,0.15267175572519084
"(datetime.time(20, 45), datetime.time(22, 15))",41,0.15648854961832062
"(datetime.time(20, 50), datetime.time(22, 20))",40,0.15267175572519084
"(datetime.time(20, 55), datetime.time(22, 25))",42,0.16030534351145037
"(datetime.time(21, 0), datetime.time(22, 30))",49,0.18702290076335878
"(datetime.time(21, 5), datetime.time(22, 35))",49,0.18702290076335878
"(datetime.time(21, 10), datetime.time(22, 40))",49,0.18702290076335878
"(datetime.time(21, 15), datetime.time(22, 45))",51,0.1946564885496183
"(datetime.time(21, 20), datetime.time(22, 50))",52,0.1984732824427481
"(datetime.time(21, 25), datetime.time(22, 55))",53,0.20229007633587787
"(datetime.time(21, 30), datetime.time(23, 0))",54,0.20610687022900764
"(datetime.time(21, 35), datetime.time(23, 5))",59,0.22519083969465647
"(datetime.time(21, 40), datetime.time(23, 10))",60,0.22900763358778625
"(datetime.time(21, 45), datetime.time(23, 15))",63,0.24045801526717558
"(datetime.time(21, 50), datetime.time(23, 20))",64,0.24427480916030533
"(datetime.time(21, 55), datetime.time(23, 25))",63,0.24045801526717558
"(datetime.time(22, 0), datetime.time(23, 30))",64,0.24427480916030533
"(datetime.time(22, 5), datetime.time(23, 35))",65,0.2480916030534351
"(datetime.time(22, 10), datetime.time(23, 40))",65,0.2480916030534351
"(datetime.time(22, 15), datetime.time(23, 45))",68,0.2595419847328244
"(datetime.time(22, 20), datetime.time(23, 50))",64,0.24427480916030533
"(datetime.time(22, 25), datetime.time(23, 55))",64,0.24427480916030533
"(datetime.time(22, 30), datetime.time(0, 0))",69,0.2633587786259542
"(datetime.time(22, 35), datetime.time(0, 5))",62,0.2366412213740458
"(datetime.time(22, 40), datetime.time(0, 10))",62,0.2366412213740458
"(datetime.time(22, 45), datetime.time(0, 15))",61,0.23282442748091603
"(datetime.time(22, 50), datetime.time(0, 20))",62,0.2366412213740458
"(datetime.time(22, 55), datetime.time(0, 25))",64,0.24427480916030533
"(datetime.time(23, 0), datetime.time(0, 30))",63,0.24045801526717558
"(datetime.time(23, 5), datetime.time(0, 35))",62,0.2366412213740458
"(datetime.time(23, 10), datetime.time(0, 40))",64,0.24427480916030533
"(datetime.time(23, 15), datetime.time(0, 45))",64,0.24427480916030533
"(datetime.time(23, 20), datetime.time(0, 50))",62,0.2366412213740458
"(datetime.time(23, 25), datetime.time(0, 55))",63,0.24045801526717558
"(datetime.time(23, 30), datetime.time(1, 0))",62,0.2366412213740458
"(datetime.time(23, 35), datetime.time(1, 5))",63,0.24045801526717558
"(datetime.time(23, 40), datetime.time(1, 10))",65,0.2480916030534351
"(datetime.time(23, 45), datetime.time(1, 15))",64,0.24427480916030533
"(datetime.time(23, 50), datetime.time(1, 20))",61,0.23282442748091603
"(datetime.time(23, 55), datetime.time(1, 25))",58,0.22137404580152673
"(datetime.time(0, 0), datetime.time(1, 30))",57,0.21755725190839695
"(datetime.time(0, 5), datetime.time(1, 35))",54,0.20610687022900764
"(datetime.time(0, 10), datetime.time(1, 40))",55,0.2099236641221374
"(datetime.time(0, 15), datetime.time(1, 45))",53,0.20229007633587787
"(datetime.time(0, 20), datetime.time(1, 50))",54,0.20610687022900764
"(datetime.time(0, 25), datetime.time(1, 55))",55,0.2099236641221374
"(datetime.time(0, 30), datetime.time(2, 0))",56,0.21374045801526717
"(datetime.time(0, 35), datetime.time(2, 5))",54,0.20610687022900764
"(datetime.time(0, 40), datetime.time(2, 10))",52,0.1984732824427481
"(datetime.time(0, 45), datetime.time(2, 15))",51,0.1946564885496183
"(datetime.time(0, 50), datetime.time(2, 20))",50,0.19083969465648856
"(datetime.time(0, 55), datetime.time(2, 25))",45,0.1717557251908397
"(datetime.time(1, 0), datetime.time(2, 30))",44,0.16793893129770993
"(datetime.time(1, 5), datetime.time(2, 35))",44,0.16793893129770993
"(datetime.time(1, 10), datetime.time(2, 40))",45,0.1717557251908397
"(datetime.time(1, 15), datetime.time(2, 45))",47,0.17938931297709923
"(datetime.time(1, 20), datetime.time(2, 50))",48,0.183206106870229
"(datetime.time(1, 25), datetime.time(2, 55))",47,0.17938931297709923
"(datetime.time(1, 30), datetime.time(3, 0))",45,0.1717557251908397
"(datetime.time(1, 35), datetime.time(3, 5))",40,0.15267175572519084
"(datetime.time(1, 40), datetime.time(3, 10))",40,0.15267175572519084
"(datetime.time(1, 45), datetime.time(3, 15))",38,0.1450381679389313
"(datetime.time(1, 50), datetime.time(3, 20))",39,0.14885496183206107
"(datetime.time(1, 55), datetime.time(3, 25))",39,0.14885496183206107
"(datetime.time(2, 0), datetime.time(3, 30))",40,0.15267175572519084
"(datetime.time(2, 5), datetime.time(3, 35))",40,0.15267175572519084
"(datetime.time(2, 10), datetime.time(3, 40))",42,0.16030534351145037
"(datetime.time(2, 15), datetime.time(3, 45))",41,0.15648854961832062
"(datetime.time(2, 20), datetime.time(3, 50))",41,0.15648854961832062
"(datetime.time(2, 25), datetime.time(3, 55))",40,0.15267175572519084
"(datetime.time(2, 30), datetime.time(4, 0))",40,0.15267175572519084
"(datetime.time(2, 35), datetime.time(4, 5))",41,0.15648854961832062
"(datetime.time(2, 40), datetime.time(4, 10))",39,0.14885496183206107
"(datetime.time(2, 45), datetime.time(4, 15))",40,0.15267175572519084
"(datetime.time(2, 50), datetime.time(4, 20))",39,0.14885496183206107
"(datetime.time(2, 55), datetime.time(4, 25))",39,0.14885496183206107
"(datetime.time(3, 0), datetime.time(4, 30))",39,0.14885496183206107
"(datetime.time(3, 5), datetime.time(4, 35))",39,0.14885496183206107
"(datetime.time(3, 10), datetime.time(4, 40))",38,0.1450381679389313
"(datetime.time(3, 15), datetime.time(4, 45))",35,0.13358778625954199
"(datetime.time(3, 20), datetime.time(4, 50))",34,0.1297709923664122
"(datetime.time(3, 25), datetime.time(4, 55))",33,0.12595419847328243
"(datetime.time(3, 30), datetime.time(5, 0))",34,0.1297709923664122
"(datetime.time(3, 35), datetime.time(5, 5))",34,0.1297709923664122
"(datetime.time(3, 40), datetime.time(5, 10))",33,0.12595419847328243
"(datetime.time(3, 45), datetime.time(5, 15))",32,0.12213740458015267
"(datetime.time(3, 50), datetime.time(5, 20))",32,0.12213740458015267
"(datetime.time(3, 55), datetime.time(5, 25))",31,0.1183206106870229
"(datetime.time(4, 0), datetime.time(5, 30))",32,0.12213740458015267
"(datetime.time(4, 5), datetime.time(5, 35))",32,0.12213740458015267
"(datetime.time(4, 10), datetime.time(5, 40))",31,0.1183206106870229
"(datetime.time(4, 15), datetime.time(5, 45))",32,0.12213740458015267
"(datetime.time(4, 20), datetime.time(5, 50))",31,0.1183206106870229
"(datetime.time(4, 25), datetime.time(5, 55))",32,0.12213740458015267
"(datetime.time(4, 30), datetime.time(6, 0))",29,0.11068702290076336
"(datetime.time(4, 35), datetime.time(6, 5))",29,0.11068702290076336
