window,count
"(datetime.time(0, 0), datetime.time(1, 30))",0
"(datetime.time(0, 5), datetime.time(1, 35))",1
"(datetime.time(0, 10), datetime.time(1, 40))",1
"(datetime.time(0, 15), datetime.time(1, 45))",2
"(datetime.time(0, 20), datetime.time(1, 50))",2
"(datetime.time(0, 25), datetime.time(1, 55))",2
"(datetime.time(0, 30), datetime.time(2, 0))",2
"(datetime.time(0, 35), datetime.time(2, 5))",2
"(datetime.time(0, 40), datetime.time(2, 10))",2
"(datetime.time(0, 45), datetime.time(2, 15))",2
"(datetime.time(0, 50), datetime.time(2, 20))",2
"(datetime.time(0, 55), datetime.time(2, 25))",2
"(datetime.time(1, 0), datetime.time(2, 30))",2
"(datetime.time(1, 5), datetime.time(2, 35))",2
"(datetime.time(1, 10), datetime.time(2, 40))",2
"(datetime.time(1, 15), datetime.time(2, 45))",2
"(datetime.time(1, 20), datetime.time(2, 50))",2
"(datetime.time(1, 25), datetime.time(2, 55))",2
"(datetime.time(1, 30), datetime.time(3, 0))",2
"(datetime.time(1, 35), datetime.time(3, 5))",1
"(datetime.time(1, 40), datetime.time(3, 10))",1
"(datetime.time(1, 45), datetime.time(3, 15))",0
"(datetime.time(1, 50), datetime.time(3, 20))",0
"(datetime.time(1, 55), datetime.time(3, 25))",0
"(datetime.time(2, 0), datetime.time(3, 30))",0
"(datetime.time(2, 5), datetime.time(3, 35))",0
"(datetime.time(2, 10), datetime.time(3, 40))",0
"(datetime.time(2, 15), datetime.time(3, 45))",1
"(datetime.time(2, 20), datetime.time(3, 50))",1
"(datetime.time(2, 25), datetime.time(3, 55))",1
"(datetime.time(2, 30), datetime.time(4, 0))",1
"(datetime.time(2, 35), datetime.time(4, 5))",1
"(datetime.time(2, 40), datetime.time(4, 10))",1
"(datetime.time(2, 45), datetime.time(4, 15))",1
"(datetime.time(2, 50), datetime.time(4, 20))",1
"(datetime.time(2, 55), datetime.time(4, 25))",1
"(datetime.time(3, 0), datetime.time(4, 30))",1
"(datetime.time(3, 5), datetime.time(4, 35))",2
"(datetime.time(3, 10), datetime.time(4, 40))",2
"(datetime.time(3, 15), datetime.time(4, 45))",2
"(datetime.time(3, 20), datetime.time(4, 50))",2
"(datetime.time(3, 25), datetime.time(4, 55))",2
"(datetime.time(3, 30), datetime.time(5, 0))",2
"(datetime.time(3, 35), datetime.time(5, 5))",2
"(datetime.time(3, 40), datetime.time(5, 10))",2
"(datetime.time(3, 45), datetime.time(5, 15))",1
"(datetime.time(3, 50), datetime.time(5, 20))",1
"(datetime.time(3, 55), datetime.time(5, 25))",1
"(datetime.time(4, 0), datetime.time(5, 30))",1
"(datetime.time(4, 5), datetime.time(5, 35))",2
"(datetime.time(4, 10), datetime.time(5, 40))",2
"(datetime.time(4, 15), datetime.time(5, 45))",2
"(datetime.time(4, 20), datetime.time(5, 50))",2
"(datetime.time(4, 25), datetime.time(5, 55))",2
"(datetime.time(4, 30), datetime.time(6, 0))",2
"(datetime.time(4, 35), datetime.time(6, 5))",1
"(datetime.time(4, 40), datetime.time(6, 10))",1
"(datetime.time(4, 45), datetime.time(6, 15))",1
"(datetime.time(4, 50), datetime.time(6, 20))",1
"(datetime.time(4, 55), datetime.time(6, 25))",1
"(datetime.time(5, 0), datetime.time(6, 30))",1
"(datetime.time(5, 5), datetime.time(6, 35))",1
"(datetime.time(5, 10), datetime.time(6, 40))",1
"(datetime.time(5, 15), datetime.time(6, 45))",1
"(datetime.time(5, 20), datetime.time(6, 50))",1
"(datetime.time(5, 25), datetime.time(6, 55))",1
"(datetime.time(5, 30), datetime.time(7, 0))",1
"(datetime.time(5, 35), datetime.time(7, 5))",0
"(datetime.time(5, 40), datetime.time(7, 10))",0
"(datetime.time(5, 45), datetime.time(7, 15))",0
"(datetime.time(5, 50), datetime.time(7, 20))",0
"(datetime.time(5, 55), datetime.time(7, 25))",0
"(datetime.time(6, 0), datetime.time(7, 30))",0
"(datetime.time(6, 5), datetime.time(7, 35))",0
"(datetime.time(6, 10), datetime.time(7, 40))",0
"(datetime.time(6, 15), datetime.time(7, 45))",0
"(datetime.time(6, 20), datetime.time(7, 50))",0
"(datetime.time(6, 25), datetime.time(7, 55))",0
"(datetime.time(6, 30), datetime.time(8, 0))",0
"(datetime.time(6, 35), datetime.time(8, 5))",0
"(datetime.time(6, 40), datetime.time(8, 10))",1
"(datetime.time(6, 45), datetime.time(8, 15))",1
"(datetime.time(6, 50), datetime.time(8, 20))",1
"(datetime.time(6, 55), datetime.time(8, 25))",1
"(datetime.time(7, 0), datetime.time(8, 30))",1
"(datetime.time(7, 5), datetime.time(8, 35))",3
"(datetime.time(7, 10), datetime.time(8, 40))",3
"(datetime.time(7, 15), datetime.time(8, 45))",3
"(datetime.time(7, 20), datetime.time(8, 50))",3
"(datetime.time(7, 25), datetime.time(8, 55))",3
"(datetime.time(7, 30), datetime.time(9, 0))",3
