window,count,probability
"(datetime.time(0, 0), datetime.time(1, 30))",13,0.04924242424242424
"(datetime.time(0, 5), datetime.time(1, 35))",12,0.045454545454545456
"(datetime.time(0, 10), datetime.time(1, 40))",12,0.045454545454545456
"(datetime.time(0, 15), datetime.time(1, 45))",12,0.045454545454545456
"(datetime.time(0, 20), datetime.time(1, 50))",12,0.045454545454545456
"(datetime.time(0, 25), datetime.time(1, 55))",12,0.045454545454545456
"(datetime.time(0, 30), datetime.time(2, 0))",14,0.05303030303030303
"(datetime.time(0, 35), datetime.time(2, 5))",14,0.05303030303030303
"(datetime.time(0, 40), datetime.time(2, 10))",14,0.05303030303030303
"(datetime.time(0, 45), datetime.time(2, 15))",14,0.05303030303030303
"(datetime.time(0, 50), datetime.time(2, 20))",12,0.045454545454545456
"(datetime.time(0, 55), datetime.time(2, 25))",12,0.045454545454545456
"(datetime.time(1, 0), datetime.time(2, 30))",12,0.045454545454545456
"(datetime.time(1, 5), datetime.time(2, 35))",7,0.026515151515151516
"(datetime.time(1, 10), datetime.time(2, 40))",8,0.030303030303030304
"(datetime.time(1, 15), datetime.time(2, 45))",10,0.03787878787878788
"(datetime.time(1, 20), datetime.time(2, 50))",10,0.03787878787878788
"(datetime.time(1, 25), datetime.time(2, 55))",9,0.03409090909090909
"(datetime.time(1, 30), datetime.time(3, 0))",10,0.03787878787878788
"(datetime.time(1, 35), datetime.time(3, 5))",10,0.03787878787878788
"(datetime.time(1, 40), datetime.time(3, 10))",11,0.041666666666666664
"(datetime.time(1, 45), datetime.time(3, 15))",12,0.045454545454545456
"(datetime.time(1, 50), datetime.time(3, 20))",13,0.04924242424242424
"(datetime.time(1, 55), datetime.time(3, 25))",14,0.05303030303030303
"(datetime.time(2, 0), datetime.time(3, 30))",13,0.04924242424242424
"(datetime.time(2, 5), datetime.time(3, 35))",12,0.045454545454545456
"(datetime.time(2, 10), datetime.time(3, 40))",11,0.041666666666666664
"(datetime.time(2, 15), datetime.time(3, 45))",11,0.041666666666666664
"(datetime.time(2, 20), datetime.time(3, 50))",11,0.041666666666666664
"(datetime.time(2, 25), datetime.time(3, 55))",12,0.045454545454545456
"(datetime.time(2, 30), datetime.time(4, 0))",15,0.056818181818181816
"(datetime.time(2, 35), datetime.time(4, 5))",15,0.056818181818181816
"(datetime.time(2, 40), datetime.time(4, 10))",15,0.056818181818181816
"(datetime.time(2, 45), datetime.time(4, 15))",12,0.045454545454545456
"(datetime.time(2, 50), datetime.time(4, 20))",12,0.045454545454545456
"(datetime.time(2, 55), datetime.time(4, 25))",13,0.04924242424242424
"(datetime.time(3, 0), datetime.time(4, 30))",13,0.04924242424242424
"(datetime.time(3, 5), datetime.time(4, 35))",13,0.04924242424242424
"(datetime.time(3, 10), datetime.time(4, 40))",13,0.04924242424242424
"(datetime.time(3, 15), datetime.time(4, 45))",12,0.045454545454545456
"(datetime.time(3, 20), datetime.time(4, 50))",11,0.041666666666666664
"(datetime.time(3, 25), datetime.time(4, 55))",11,0.041666666666666664
"(datetime.time(3, 30), datetime.time(5, 0))",10,0.03787878787878788
"(datetime.time(3, 35), datetime.time(5, 5))",9,0.03409090909090909
"(datetime.time(3, 40), datetime.time(5, 10))",9,0.03409090909090909
"(datetime.time(3, 45), datetime.time(5, 15))",10,0.03787878787878788
"(datetime.time(3, 50), datetime.time(5, 20))",10,0.03787878787878788
"(datetime.time(3, 55), datetime.time(5, 25))",10,0.03787878787878788
"(datetime.time(4, 0), datetime.time(5, 30))",9,0.03409090909090909
"(datetime.time(4, 5), datetime.time(5, 35))",8,0.030303030303030304
"(datetime.time(4, 10), datetime.time(5, 40))",7,0.026515151515151516
"(datetime.time(4, 15), datetime.time(5, 45))",6,0.022727272727272728
"(datetime.time(4, 20), datetime.time(5, 50))",6,0.022727272727272728
"(datetime.time(4, 25), datetime.time(5, 55))",5,0.01893939393939394
"(datetime.time(4, 30), datetime.time(6, 0))",4,0.015151515151515152
"(datetime.time(4, 35), datetime.time(6, 5))",5,0.01893939393939394
"(datetime.time(4, 40), datetime.time(6, 10))",4,0.015151515151515152
"(datetime.time(4, 45), datetime.time(6, 15))",5,0.01893939393939394
"(datetime.time(4, 50), datetime.time(6, 20))",6,0.022727272727272728
"(datetime.time(4, 55), datetime.time(6, 25))",6,0.022727272727272728
"(datetime.time(5, 0), datetime.time(6, 30))",7,0.026515151515151516
"(datetime.time(5, 5), datetime.time(6, 35))",7,0.026515151515151516
"(datetime.time(5, 10), datetime.time(6, 40))",7,0.026515151515151516
"(datetime.time(5, 15), datetime.time(6, 45))",6,0.022727272727272728
"(datetime.time(5, 20), datetime.time(6, 50))",6,0.022727272727272728
"(datetime.time(5, 25), datetime.time(6, 55))",5,0.01893939393939394
"(datetime.time(5, 30), datetime.time(7, 0))",4,0.015151515151515152
"(datetime.time(5, 35), datetime.time(7, 5))",4,0.015151515151515152
