window,count,probability
"(datetime.time(0, 0), datetime.time(1, 30))",72,0.30638297872340425
"(datetime.time(0, 5), datetime.time(1, 35))",67,0.2851063829787234
"(datetime.time(0, 10), datetime.time(1, 40))",63,0.2680851063829787
"(datetime.time(0, 15), datetime.time(1, 45))",60,0.2553191489361702
"(datetime.time(0, 20), datetime.time(1, 50))",57,0.2425531914893617
"(datetime.time(0, 25), datetime.time(1, 55))",52,0.22127659574468084
"(datetime.time(0, 30), datetime.time(2, 0))",49,0.20851063829787234
"(datetime.time(0, 35), datetime.time(2, 5))",48,0.20425531914893616
"(datetime.time(0, 40), datetime.time(2, 10))",45,0.19148936170212766
"(datetime.time(0, 45), datetime.time(2, 15))",44,0.18723404255319148
"(datetime.time(0, 50), datetime.time(2, 20))",40,0.1702127659574468
"(datetime.time(0, 55), datetime.time(2, 25))",35,0.14893617021276595
"(datetime.time(1, 0), datetime.time(2, 30))",31,0.13191489361702127
"(datetime.time(1, 5), datetime.time(2, 35))",30,0.1276595744680851
"(datetime.time(1, 10), datetime.time(2, 40))",28,0.11914893617021277
"(datetime.time(1, 15), datetime.time(2, 45))",27,0.1148936170212766
"(datetime.time(1, 20), datetime.time(2, 50))",27,0.1148936170212766
"(datetime.time(1, 25), datetime.time(2, 55))",26,0.11063829787234042
"(datetime.time(1, 30), datetime.time(3, 0))",26,0.11063829787234042
"(datetime.time(1, 35), datetime.time(3, 5))",26,0.11063829787234042
"(datetime.time(1, 40), datetime.time(3, 10))",24,0.10212765957446808
"(datetime.time(1, 45), datetime.time(3, 15))",23,0.09787234042553192
"(datetime.time(1, 50), datetime.time(3, 20))",23,0.09787234042553192
"(datetime.time(1, 55), datetime.time(3, 25))",22,0.09361702127659574
"(datetime.time(2, 0), datetime.time(3, 30))",23,0.09787234042553192
"(datetime.time(2, 5), datetime.time(3, 35))",23,0.09787234042553192
"(datetime.time(2, 10), datetime.time(3, 40))",24,0.10212765957446808
"(datetime.time(2, 15), datetime.time(3, 45))",23,0.09787234042553192
"(datetime.time(2, 20), datetime.time(3, 50))",23,0.09787234042553192
"(datetime.time(2, 25), datetime.time(3, 55))",23,0.09787234042553192
"(datetime.time(2, 30), datetime.time(4, 0))",23,0.09787234042553192
"(datetime.time(2, 35), datetime.time(4, 5))",22,0.09361702127659574
"(datetime.time(2, 40), datetime.time(4, 10))",22,0.09361702127659574
"(datetime.time(2, 45), datetime.time(4, 15))",22,0.09361702127659574
"(datetime.time(2, 50), datetime.time(4, 20))",22,0.09361702127659574
