window,count,probability
"(datetime.time(9, 0), datetime.time(10, 30))",167,0.6900826446280992
"(datetime.time(9, 5), datetime.time(10, 35))",168,0.6942148760330579
"(datetime.time(9, 10), datetime.time(10, 40))",167,0.6900826446280992
"(datetime.time(9, 15), datetime.time(10, 45))",166,0.6859504132231405
"(datetime.time(9, 20), datetime.time(10, 50))",167,0.6900826446280992
"(datetime.time(9, 25), datetime.time(10, 55))",168,0.6942148760330579
"(datetime.time(9, 30), datetime.time(11, 0))",174,0.71900826446281
"(datetime.time(9, 35), datetime.time(11, 5))",165,0.6818181818181818
"(datetime.time(9, 40), datetime.time(11, 10))",163,0.6735537190082644
"(datetime.time(9, 45), datetime.time(11, 15))",163,0.6735537190082644
"(datetime.time(9, 50), datetime.time(11, 20))",163,0.6735537190082644
"(datetime.time(9, 55), datetime.time(11, 25))",163,0.6735537190082644
"(datetime.time(10, 0), datetime.time(11, 30))",165,0.6818181818181818
"(datetime.time(10, 5), datetime.time(11, 35))",162,0.6694214876033058
"(datetime.time(10, 10), datetime.time(11, 40))",163,0.6735537190082644
"(datetime.time(10, 15), datetime.time(11, 45))",161,0.6652892561983471
"(datetime.time(10, 20), datetime.time(11, 50))",158,0.6528925619834711
"(datetime.time(10, 25), datetime.time(11, 55))",160,0.6611570247933884
"(datetime.time(10, 30), datetime.time(12, 0))",158,0.6528925619834711
"(datetime.time(10, 35), datetime.time(12, 5))",144,0.5950413223140496
"(datetime.time(10, 40), datetime.time(12, 10))",144,0.5950413223140496
"(datetime.time(10, 45), datetime.time(12, 15))",140,0.5785123966942148
"(datetime.time(10, 50), datetime.time(12, 20))",139,0.5743801652892562
"(datetime.time(10, 55), datetime.time(12, 25))",140,0.5785123966942148
"(datetime.time(11, 0), datetime.time(12, 30))",140,0.5785123966942148
"(datetime.time(11, 5), datetime.time(12, 35))",136,0.5619834710743802
"(datetime.time(11, 10), datetime.time(12, 40))",135,0.5578512396694215
"(datetime.time(11, 15), datetime.time(12, 45))",137,0.5661157024793388
"(datetime.time(11, 20), datetime.time(12, 50))",140,0.5785123966942148
"(datetime.time(11, 25), datetime.time(12, 55))",137,0.5661157024793388
"(datetime.time(11, 30), datetime.time(13, 0))",132,0.5454545454545454
"(datetime.time(11, 35), datetime.time(13, 5))",128,0.5289256198347108
"(datetime.time(11, 40), datetime.time(13, 10))",126,0.5206611570247934
"(datetime.time(11, 45), datetime.time(13, 15))",123,0.5082644628099173
"(datetime.time(11, 50), datetime.time(13, 20))",120,0.49586776859504134
"(datetime.time(11, 55), datetime.time(13, 25))",116,0.4793388429752066
"(datetime.time(12, 0), datetime.time(13, 30))",115,0.47520661157024796
"(datetime.time(12, 5), datetime.time(13, 35))",114,0.47107438016528924
"(datetime.time(12, 10), datetime.time(13, 40))",109,0.45041322314049587
"(datetime.time(12, 15), datetime.time(13, 45))",109,0.45041322314049587
"(datetime.time(12, 20), datetime.time(13, 50))",107,0.44214876033057854
"(datetime.time(12, 25), datetime.time(13, 55))",108,0.4462809917355372
"(datetime.time(12, 30), datetime.time(14, 0))",108,0.4462809917355372
"(datetime.time(12, 35), datetime.time(14, 5))",103,0.4256198347107438
"(datetime.time(12, 40), datetime.time(14, 10))",97,0.40082644628099173
"(datetime.time(12, 45), datetime.time(14, 15))",97,0.40082644628099173
"(datetime.time(12, 50), datetime.time(14, 20))",95,0.3925619834710744
"(datetime.time(12, 55), datetime.time(14, 25))",89,0.3677685950413223
"(datetime.time(13, 0), datetime.time(14, 30))",88,0.36363636363636365
"(datetime.time(13, 5), datetime.time(14, 35))",84,0.34710743801652894
"(datetime.time(13, 10), datetime.time(14, 40))",85,0.3512396694214876
"(datetime.time(13, 15), datetime.time(14, 45))",86,0.35537190082644626
"(datetime.time(13, 20), datetime.time(14, 50))",85,0.3512396694214876
"(datetime.time(13, 25), datetime.time(14, 55))",81,0.3347107438016529
"(datetime.time(13, 30), datetime.time(15, 0))",80,0.3305785123966942
"(datetime.time(13, 35), datetime.time(15, 5))",77,0.3181818181818182
"(datetime.time(13, 40), datetime.time(15, 10))",77,0.3181818181818182
"(datetime.time(13, 45), datetime.time(15, 15))",77,0.3181818181818182
"(datetime.time(13, 50), datetime.time(15, 20))",75,0.30991735537190085
"(datetime.time(13, 55), datetime.time(15, 25))",72,0.2975206611570248
"(datetime.time(14, 0), datetime.time(15, 30))",72,0.2975206611570248
"(datetime.time(14, 5), datetime.time(15, 35))",74,0.30578512396694213
"(datetime.time(14, 10), datetime.time(15, 40))",74,0.30578512396694213
"(datetime.time(14, 15), datetime.time(15, 45))",72,0.2975206611570248
"(datetime.time(14, 20), datetime.time(15, 50))",73,0.30165289256198347
